datetime,symbol,open,high,low,close,volume
2021-08-05 23:00:00,TRADENATION:SOLANA,37.408,40.362,35.75,39.497,0.0
2021-08-08 23:00:00,TRADENATION:SOLANA,37.668,39.925,36.304,38.722,0.0
2021-08-09 23:00:00,TRADENATION:SOLANA,38.722,41.686,38.278,40.596,0.0
2021-08-10 23:00:00,TRADENATION:SOLANA,40.596,43.631,40.596,41.792,0.0
2021-08-11 23:00:00,TRADENATION:SOLANA,41.792,43.323,39.433,41.1,0.0
2021-08-12 23:00:00,TRADENATION:SOLANA,41.1,44.821,40.785,44.821,0.0
2021-08-15 23:00:00,TRADENATION:SOLANA,53.714,68.743,52.451,62.137,0.0
2021-08-16 23:00:00,TRADENATION:SOLANA,62.137,100.0,59.998,64.0,0.0
2021-08-17 23:00:00,TRADENATION:SOLANA,64.0,80.483,60.019,72.578,0.0
2021-08-18 23:00:00,TRADENATION:SOLANA,72.578,75.307,68.771,72.7,0.0
2021-08-19 23:00:00,TRADENATION:SOLANA,72.7,79.9,70.987,78.714,0.0
2021-08-22 23:00:00,TRADENATION:SOLANA,72.846,77.846,71.719,75.553,0.0
2021-08-23 23:00:00,TRADENATION:SOLANA,75.553,79.343,68.486,70.671,0.0
2021-08-24 23:00:00,TRADENATION:SOLANA,70.671,72.535,66.35,72.056,0.0
2021-08-25 23:00:00,TRADENATION:SOLANA,72.056,78.051,66.372,75.169,0.0
2021-08-26 23:00:00,TRADENATION:SOLANA,75.169,88.76,73.179,87.97,0.0
2021-08-29 23:00:00,TRADENATION:SOLANA,94.2,116.25,93.8,110.241,0.0
2021-08-30 23:00:00,TRADENATION:SOLANA,110.241,130.03,103.58,108.32,0.0
2021-08-31 23:00:00,TRADENATION:SOLANA,108.32,119.5,106.18,111.06,0.0
2021-09-01 23:00:00,TRADENATION:SOLANA,111.06,131.8,109.67,128.071,0.0
2021-09-02 23:00:00,TRADENATION:SOLANA,128.071,148.89,128.071,146.14,0.0
2021-09-05 23:00:00,TRADENATION:SOLANA,142.13,165.859,137.39,164.17,0.0
2021-09-06 23:00:00,TRADENATION:SOLANA,164.59,195.0,130.0,173.03,0.0
2021-09-07 23:00:00,TRADENATION:SOLANA,173.03,198.04,146.53,190.69,0.0
2021-09-08 23:00:00,TRADENATION:SOLANA,190.69,215.511,182.0,192.1,0.0
2021-09-09 23:00:00,TRADENATION:SOLANA,192.1,197.1,170.0,179.15,0.0
2021-09-12 23:00:00,TRADENATION:SOLANA,174.37,175.0,150.54,169.47,12520000.0
2021-09-13 23:00:00,TRADENATION:SOLANA,169.47,171.54,143.2,158.0,12220000.0
2021-09-14 23:00:00,TRADENATION:SOLANA,158.507,166.246,154.057,158.619,8720000.0
2021-09-15 23:00:00,TRADENATION:SOLANA,158.648,163.008,147.493,152.211,6800000.0
2021-09-16 23:00:00,TRADENATION:SOLANA,152.215,153.253,134.717,147.416,11390000.0
2021-09-19 23:00:00,TRADENATION:SOLANA,152.742,153.305,131.023,132.502,14720000.0
2021-09-20 23:00:00,TRADENATION:SOLANA,132.701,144.496,116.135,123.881,14260000.0
2021-09-21 23:00:00,TRADENATION:SOLANA,123.967,151.446,122.272,148.048,12060000.0
